text,target
" That's very kind of you, thanks so much! What a magical place to live. You are fortunate. ",1
 I haven't had roscoes in forever! Haha. But I love it. I don't like pancakes haha. I just made a warm roast beef sandwich. ,1
 Just ordered some pasta and wings - always a great experience for me  Keep up the kick ass work man!,1
 have a dance party!! thats what i always do ,1
Storm and a power cut... Gonna go for a walk in the heavy rain ,1
just changed her primary photo. ,1
is cleaning her room ,1
 will do ,1
 I already do feel better. ,1
  Ok so I am more &quot;blonde&quot; than &quot;brunette&quot; ,1
" AHHH, KATIE!!! ",1
"Morning  i'm so sleepy still, but can't sleep ",1
 haha Sweet!!! Yea I can't wait! My mother won't call me a &quot;teen&quot; anymore! Lol Hope you have a great birthday!!!! ,1
enjoyed the Fedex's record win in french open!!!  He got what He deserves ,1
 You're here!  Too bad I can't stay long. I'm so effin tired. High school sucks.,1
 Doesn't get much better than it did tonight!  Both shows rocked the house!  So proud and honored to be a part of it all.  ,1
 Yeah. Its CLEAN. Thats the thing I liked the most. Also shows the business touchpoints very clearly +1 from me ,1
Fnally at workk...had a nice toast and now 2 chill ,1
 Noooooo do not put that bottle on ebay please! ,1
listening to musiccc ,1
" lol..that last comment was directed at u .,  ",1
14 hours to go before school. ,1
view my picS on twitter pic!! ,1
 welcome truman!! give him &amp; mommy a big hug for me ,1
 i've got both  . but yeah i mostly stay on world at war. and i have it on ps3 x,1
"Very cool. Thanks, ! I had a lot more I wanted to do to improve it, but ran out of time. They'll get better from here. ",1
it's been 3 days...did y'all miss me? i didn't think so.  happy monday!,1
 oh well there will be others. ,1
"Well the conclusion of yet another day, who knows what tomorrow will hold, but hopefully there will be Disney and good friends ",1
 cheers dude. might have some funding to help stage a nice urban decay photo exhibit too.. email me if you're keen. ,1
" I concur- I don't know what my all time favourite is though- it may be bugsy malone  haha great movie, seen it?",1
 babies are SO adorable  AHH your gonna be an aunt! no I think I perfer toddlers over babies.,1
Paris under the rain! hopefully we had sun this week-end ^^ by the way...morning every one! ,1
" use the block button, luke ",1
11:09am freaking early.. looks great out today.. ,1
 can't wait to see the pics  ,1
going to school... UGGG! but... QUEBEC TOMOROW! ,1
" couldn't resist, hey?  make sure you tweet a little review once you've had a chance to give all the new features a look over.",1
Hope they join. More the merrier. When small they usually don't lose much at all. &amp; perhaps gain all us. ,1
 Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip ,1
Off shooping in Manchesterrrrr ,1
 haha you can't read this  this is not fair!! Poor chinese Twitteruser,1
Okay so it's 3am and am soo not sleepy. Ugh! Someone should start a random conversation. ,1
Sees blue sky peeking through the blanket white that was heavy cloud this morning.  Fingers crossed peeps ,1
Actually looking forward to getting back to my routine tomorrow. ,1
 yayyy! roll on October ,1
"Good night, everybody! Thank you for being a friend!  See ya later! Peace.",1
